2024-01-25 15:29:49,224 view.py [line:10] INFO mode=0 category='string' content='string' tasks_id='string' user_id=0 image_url='string' version='string'
2024-01-25 15:29:51,215 view.py [line:10] INFO mode=0 category='string' content='string' tasks_id='string' user_id=0 image_url='string' version='string'
2024-01-25 15:30:03,401 view.py [line:10] INFO mode=0 category='string' content='string' tasks_id='string' user_id=0 image_url='string' version='string'
2024-01-25 15:30:25,439 view.py [line:10] INFO mode=1 category='print' content='flower' tasks_id='123456' user_id=42 image_url='' version='1'
2024-01-25 15:31:56,078 view.py [line:11] INFO mode=1 category='print' content='flower' tasks_id='123456' user_id=42 image_url='' version='1'
2024-01-25 15:33:10,817 view.py [line:11] INFO mode=1 category='print' content='flower' tasks_id='123456' user_id=42 image_url='' version='1'
2024-01-25 15:33:16,757 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:33:16,758 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:33:17,761 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:33:17,762 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:33:18,770 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:33:18,771 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:33:19,785 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:33:19,786 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:33:20,799 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'SUCCESS', 'message': 'success', 'data': "['aida-users/42/print/032d4807-bb54-11ee-8289-b0dcefbff887_0.png', 'aida-users/42/print/035c522d-bb54-11ee-94ab-b0dcefbff887_1.png', 'aida-users/42/print/037366be-bb54-11ee-ae6d-b0dcefbff887_2.png', 'aida-users/42/print/038c4476-bb54-11ee-bfa0-b0dcefbff887_3.png']"}
2024-01-25 15:33:20,800 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'SUCCESS', 'message': 'success', 'data': "['aida-users/42/print/032d4807-bb54-11ee-8289-b0dcefbff887_0.png', 'aida-users/42/print/035c522d-bb54-11ee-94ab-b0dcefbff887_1.png', 'aida-users/42/print/037366be-bb54-11ee-ae6d-b0dcefbff887_2.png', 'aida-users/42/print/038c4476-bb54-11ee-bfa0-b0dcefbff887_3.png']"}
2024-01-25 15:59:48,536 view.py [line:11] INFO mode=1 category='print' content='flower' tasks_id='123456' user_id=42 image_url='' version='1'
2024-01-25 15:59:50,911 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:59:50,911 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:59:51,913 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:59:51,914 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:59:52,923 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:59:52,924 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:59:53,938 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
2024-01-25 15:59:53,939 generate_triton_server.py [line:97] INFO 123456 ===> {'status': 'PENDING', 'message': 'pending', 'data': ''}
